team,wins,losses,home_wins,avg_margin,avg_points_for,avg_points_against,region,nn_strength
south_carolina_gamecocks,29,2,17,19.612903225806452,71.29032258064517,51.67741935483871,North,22.284569
florida_gulf_coast_eagles,27,2,17,20.96551724137931,77.86206896551724,56.89655172413793,North,24.598116
stephen_f_austin_ladyjacks,25,4,14,19.137931034482758,74.48275862068965,55.3448275862069,North,24.07581
ucf_knights,24,3,16,13.185185185185185,60.666666666666664,47.48148148148148,North,20.450327
troy_trojans,24,7,15,11.161290322580646,79.29032258064517,68.12903225806451,North,24.499605
south_florida_bulls,24,7,14,7.419354838709677,60.935483870967744,53.516129032258064,North,18.455694
lsu_tigers,23,5,16,13.142857142857142,73.85714285714286,60.714285714285715,North,23.797148
middle_tennessee_blue_raiders,23,7,14,11.066666666666666,68.03333333333333,56.96666666666667,North,21.589155
tennessee_lady_volunteers,23,8,16,9.741935483870968,69.93548387096774,60.193548387096776,North,21.613083
jacksonville_state_gamecocks,22,7,14,9.10344827586207,67.37931034482759,58.275862068965516,North,20.7302
belmont_bruins,22,7,12,13.96551724137931,69.48275862068965,55.51724137931034,North,22.970663
charlotte_49ers,22,9,13,5.483870967741935,63.61290322580645,58.12903225806452,North,18.332962
jackson_state_lady_tigers,21,6,13,16.814814814814813,79.85185185185185,63.03703703703704,North,26.613054
ole_miss_rebels,21,8,12,11.137931034482758,67.41379310344827,56.275862068965516,North,21.455324
florida_gators,21,10,14,3.903225806451613,68.51612903225806,64.61290322580645,North,18.547363
georgia_tech_yellow_jackets,21,10,13,9.161290322580646,61.03225806451613,51.87096774193548,North,19.140162
stanford_cardinal,28,3,17,16.903225806451612,73.7741935483871,56.87096774193548,West,24.996311
baylor_bears,27,6,17,16.515151515151516,77.0,60.484848484848484,West,25.781359
unlv_lady_rebels,26,6,16,11.09375,75.5625,64.46875,West,23.52424
gonzaga_bulldogs,26,6,14,13.5625,69.3125,55.75,West,22.785667
texas_longhorns,26,6,13,15.96875,72.625,56.65625,West,24.473532
south_dakota_coyotes,25,5,15,16.733333333333334,69.8,53.06666666666667,West,23.273151
byu_cougars,24,3,15,20.74074074074074,79.18518518518519,58.44444444444444,West,25.357037
nebraska_cornhuskers,24,8,17,14.34375,78.53125,64.1875,West,25.408901
oklahoma_sooners,24,8,15,7.28125,83.3125,76.03125,West,23.936687
south_dakota_state_jackrabbits,23,9,15,16.0625,74.125,58.0625,West,24.890007
new_mexico_lobos,22,8,15,7.733333333333333,76.36666666666666,68.63333333333334,West,22.40133
colorado_buffaloes,22,8,14,8.533333333333333,65.36666666666666,56.833333333333336,West,20.004393
california_baptist_lancers,22,8,10,6.9,76.3,69.4,West,22.046776
montana_state_bobcats,22,12,16,2.176470588235294,70.0,67.82352941176471,West,17.582762
grand_canyon_lopes,21,9,13,4.233333333333333,64.4,60.166666666666664,West,17.869814
uc_irvine_anteaters,21,11,14,6.21875,67.03125,60.8125,West,19.476902
toledo_rockets,26,4,14,12.266666666666667,72.36666666666666,60.1,South,23.112108
iowa_state_cyclones,26,6,17,13.125,76.875,63.75,South,24.561768
louisville_cardinals,25,4,14,17.137931034482758,72.17241379310344,55.03448275862069,South,24.154776
iu_indianapolis_jaguars,24,4,14,14.75,70.42857142857143,55.67857142857143,South,23.487255
missouri_state_lady_bears,24,7,15,11.483870967741936,65.19354838709677,53.70967741935484,South,21.007763
ohio_state_buckeyes,23,6,15,13.241379310344827,79.17241379310344,65.93103448275862,South,25.189583
youngstown_state_penguins,23,6,14,8.724137931034482,65.58620689655173,56.86206896551724,South,20.136261
iowa_hawkeyes,23,7,14,13.666666666666666,84.5,70.83333333333333,South,26.699156
kansas_city_roos,23,8,16,6.67741935483871,72.03225806451613,65.35483870967742,South,20.900446
virginia_tech_hokies,23,9,13,12.875,70.5,57.625,South,22.847038
dayton_flyers,22,4,12,11.692307692307692,65.8076923076923,54.11538461538461,South,21.237066
michigan_wolverines,22,5,16,11.666666666666666,73.25925925925925,61.592592592592595,South,23.133095
notre_dame_fighting_irish,22,8,14,10.366666666666667,73.03333333333333,62.666666666666664,South,22.62614
indiana_hoosiers,22,8,13,9.9,71.8,61.9,South,22.14151
depaul_blue_demons,22,10,13,10.0,88.28125,78.28125,South,26.26907
northern_kentucky_norse,21,8,9,7.0,66.13793103448276,59.13793103448276,South,19.572788
